SurveyID,Segment_num,Laser_width,Screen_width,Off_bottom,MacroSub1,MacroSub2,Biocover 1,Biocover 2,Hab_descrip,Video_time,GPS_time,PISCES_time,Lat_deg,Lat_decmin,Long_deg,Long_decmin,Depth,Habitat_Comments
Explore1,22,2.0,36,0,M,M,bare,bare,2,0:10:30,12:54:40,12:53:54,,,,,53,
Explore1,23,1.8,36,0,M,M,bare,bare,3,0:11:00,12:55:10,12:54:24,,,,,52,
Explore1,24,2.4,36,0,R,M,bare,bare,3,0:11:30,12:55:40,12:54:54,,,,,51,
Explore1,25,4.9,36,0,R,M,bare,bare,4,0:12:00,12:56:10,12:55:24,,,,,48,
Explore1,26,1.4,36,0,R,M,bare,bare,3,0:12:30,12:56:40,12:55:54,,,,,47,
Explore1,27,2.8,36,0,R,M,bare,bare,4,0:13:00,12:57:10,12:56:24,,,,,48,
Explore1,28,2.6,36,0,R,M,bare,bare,3,0:13:31,12:57:41,12:56:55,,,,,48,
Explore1,29,2.4,36,0,R,M,bare,bare,4,0:14:00,12:58:10,12:57:24,,,,,48,
Explore1,30,1.8,36,0,R,M,bare,bare,4,0:14:30,12:58:40,12:57:54,,,,,51,
Explore1,31,2.0,36,0,R,M,bare,bare,4,0:15:00,12:59:10,12:58:24,,,,,52,
Explore1,32,2.0,36,0,R,M,bare,bare,4,0:15:30,12:59:40,12:58:54,,,,,53,
Explore1,33,2.2,36,0,R,M,bare,bare,4,0:16:00,13:00:10,12:59:24,,,,,51,
Explore1,34,3.0,36,0,R,M,bare,bare,3,0:16:30,13:00:40,12:59:54,,,,,51,
Explore1,35,1.9,36,0,M,M,bare,bare,2,0:17:00,13:01:10,13:00:24,,,,,51,
Explore1,36,2.5,36,0,M,M,bare,bare,2,0:17:30,13:01:40,13:00:54,,,,,50,
Explore1,37,2.9,36,0,M,M,bare,bare,2,0:18:00,13:02:10,13:01:24,,,,,50,
Explore1,38,3.3,36,0,M,M,bare,bare,2,0:18:30,13:02:40,13:01:54,,,,,49,
Explore1,39,2.6,36,0,M,M,bare,bare,2,0:19:00,13:03:10,13:02:24,,,,,48,
Explore1,40,2.4,36,0,M,M,bare,bare,2,0:19:30,13:03:40,13:02:54,,,,,47,
Explore1,41,1.9,36,0,R,M,bare,bare,3,0:20:03,13:04:13,13:03:27,,,,,46,
Explore1,42,1.5,36,0,R,M,bare,bare,3,0:20:30,13:04:40,13:03:54,,,,,47,
Explore1,43,2.8,36,0,M,M,bare,bare,3,0:21:00,13:05:10,13:04:24,,,,,48,
Explore1,44,3.7,36,0,M,M,bare,bare,3,0:21:30,13:05:40,13:04:54,,,,,48,
Explore1,45,3.1,36,0,M,M,bare,bare,2,0:22:00,13:06:10,13:05:24,,,,,47,
Explore1,46,2.9,36,0,M,M,bare,bare,2,0:22:30,13:06:40,13:05:54,,,,,47,
Explore1,47,2.8,36,0,M,M,bare,bare,2,0:23:00,13:07:10,13:06:24,,,,,47,
Explore1,48,2.5,36,0,M,M,bare,bare,2,0:23:30,13:07:40,13:06:54,,,,,47,
Explore1,49,3.3,36,0,M,M,bare,bare,2,0:24:00,13:08:10,13:07:24,,,,,47,
Explore1,50,2.4,36,0,M,C,bare,bare,2,0:24:30,13:08:40,13:07:54,,,,,46,
Explore1,51,1.4,36,0,R,M,bare,bare,3,0:25:00,13:09:10,13:08:24,,,,,46,
Explore1,52,2.7,36,0,M,C,bare,bare,3,0:25:30,13:09:40,13:08:54,,,,,47,
Explore1,53,2.7,36,0,R,M,bare,bare,3,0:26:00,13:10:10,13:09:24,,,,,47,
Explore1,54,2.6,36,0,R,M,bare,bare,3,0:26:30,13:10:40,13:09:54,,,,,46,
Explore1,55,2.1,36,0,R,M,bare,bare,3,0:27:00,13:11:10,13:10:24,,,,,46,
Explore1,56,1.6,36,0,R,M,bare,bare,2,0:27:30,13:11:40,13:10:54,,,,,47,
Explore1,57,1.6,36,0,R,M,bare,bare,2,0:28:00,13:12:10,13:11:24,,,,,49,
Explore1,58,1.9,36,0,R,M,bare,bare,3,0:28:30,13:12:40,13:11:54,,,,,51,
Explore1,59,1.4,36,0,R,M,bare,bare,3,0:29:00,13:13:10,13:12:24,,,,,53,
Explore1,60,1.3,36,0,R,M,bare,bare,3,0:29:30,13:13:40,13:12:54,,,,,55,
Explore1,61,2.0,36,0,R,M,bare,bare,2,0:30:00,13:14:10,13:13:24,,,,,56,
Explore1,62,2.3,36,0,R,M,bare,bare,3,0:30:30,13:14:40,13:13:54,,,,,57,
Explore1,63,1.8,36,0,R,M,bare,bare,3,0:31:00,13:15:10,13:14:24,,,,,56,
Explore1,64,,,0,,,,,,0:31:30,13:15:40,13:14:54,,,,,,end of transect
Explore2,1,1.2,36,0,R,R,bare,bare,4,0:00:30,13:25:48,13:25:03,,,,,59,
Explore2,2,1.9,36,0,R,M,bare,bare,3,0:01:00,13:26:18,13:25:33,,,,,59,
Explore2,3,1.7,36,0,R,M,bare,bare,3,0:01:30,13:26:48,13:26:03,,,,,60,
Explore2,4,2.7,36,0,M,M,bare,bare,3,0:02:00,13:27:18,13:26:33,,,,,59,
Explore2,5,2.8,36,0,M,R,bare,bare,3,0:02:30,13:27:48,13:27:03,,,,,59,
Explore2,6,2.1,36,0,R,R,bare,bare,4,0:03:00,13:28:18,13:27:33,,,,,60,
Explore2,7,2.5,36,0,R,M,bare,bare,4,0:03:30,13:28:48,13:28:03,,,,,62,
Explore2,8,2.0,36,0,R,M,bare,bare,4,0:04:00,13:29:18,13:28:33,,,,,62,
Explore2,9,2.0,36,0,M,M,bare,bare,3,0:04:30,13:29:48,13:29:03,,,,,61,
Explore2,10,2.5,36,0,M,M,bare,bare,2,0:05:00,13:30:18,13:29:33,,,,,60,
Explore2,11,1.6,36,0,R,M,bare,bare,3,0:05:30,13:30:48,13:30:03,,,,,57,
Explore2,12,1.8,36,0,M,M,bare,bare,2,0:06:00,13:31:18,13:30:33,,,,,55,
Explore2,13,1.5,36,0,M,M,bare,bare,2,0:06:30,13:31:48,13:31:03,,,,,56,
Explore2,14,1.7,36,0,R,M,bare,bare,3,0:07:00,13:32:18,13:31:33,,,,,54,
Explore2,15,2.3,36,0,M,M,bare,bare,2,0:07:30,13:32:48,13:32:03,,,,,54,
Explore2,16,2.3,36,0,M,M,bare,bare,2,0:08:00,13:33:18,13:32:33,,,,,56,
Explore2,17,2.7,36,0,M,M,bare,bare,2,0:08:30,13:33:48,13:33:03,,,,,56,
Explore2,18,2.3,36,0,M,M,bare,bare,3,0:09:00,13:34:18,13:33:33,,,,,56,
Explore2,19,1.5,36,0,M,R,bare,bare,3,0:09:30,13:34:48,13:34:03,,,,,57,
Explore2,20,2.5,36,0,R,M,bare,bare,4,0:10:00,13:35:18,13:34:33,,,,,54,
Explore2,21,3.4,36,0,R,M,bare,bare,4,0:10:30,13:35:48,13:35:03,,,,,55,
Explore2,22,2.1,36,0,R,M,bare,bare,4,0:11:00,13:36:18,13:35:33,,,,,55,
Explore2,23,1.6,36,0,R,M,bare,bare,4,0:11:30,13:36:48,13:36:03,,,,,56,
Explore2,24,1.7,36,0,M,R,bare,bare,4,0:12:00,13:37:18,13:36:33,,,,,55,
Explore2,25,2.1,36,0,R,M,bare,bare,4,0:12:30,13:37:48,13:37:03,,,,,54,
Explore2,26,2.6,36,0,M,M,bare,bare,4,0:13:00,13:38:18,13:37:33,,,,,53,
Explore2,27,2.1,36,0,M,M,bare,bare,4,0:13:30,13:38:48,13:38:03,,,,,51,
Explore2,28,1.8,36,0,M,M,bare,bare,3,0:14:00,13:39:18,13:38:33,,,,,50,
Explore2,29,3.1,36,0,M,M,bare,bare,3,0:14:30,13:39:48,13:39:03,,,,,49,
Explore2,30,1.8,36,0,M,M,bare,bare,3,0:14:59,13:40:17,13:39:32,,,,,48,ARH: can see a rockfish in crab pot at PT 13:39:36 - possible splitnose?
Explore2,31,1.9,36,0,M,M,bare,bare,3,0:15:30,13:40:48,13:40:03,,,,,48,
Explore2,32,2.3,36,0,M,R,bare,bare,4,0:16:00,13:41:18,13:40:33,,,,,48,
Explore2,33,1.1,36,0,R,M,bare,bare,4,0:16:30,13:41:48,13:41:03,,,,,47,
Explore2,34,1.4,36,0,R,M,bare,bare,4,0:17:00,13:42:18,13:41:33,,,,,50,
Explore2,35,1.7,36,0,R,M,bare,bare,4,0:17:30,13:42:48,13:42:03,,,,,49,
Explore2,36,2.1,36,0,R,M,bare,bare,4,0:18:00,13:43:18,13:42:33,,,,,49,
Explore2,37,1.9,36,0,R,M,bare,bare,4,0:18:30,13:43:48,13:43:03,,,,,50,
Explore2,38,2.1,36,0,M,M,bare,bare,2,0:19:00,13:44:18,13:43:33,,,,,50,
Explore2,39,1.5,36,0,M,M,bare,bare,2,0:19:30,13:44:48,13:44:03,,,,,51,
Explore2,40,1.8,36,0,M,M,bare,bare,2,0:20:00,13:45:18,13:44:33,,,,,51,
Explore2,41,1.3,36,0,M,M,bare,bare,2,0:20:30,13:45:48,13:45:03,,,,,52,
Explore2,42,1.3,36,0,R,M,bare,bare,3,0:21:00,13:46:18,13:45:33,,,,,52,
Explore2,43,2.3,36,0,R,M,bare,bare,2,0:21:30,13:46:48,13:46:03,,,,,54,
Explore2,44,1.5,36,0,M,M,bare,bare,3,0:22:01,13:47:19,13:46:34,,,,,55,
Explore2,45,3.8,36,0,R,M,bare,bare,4,0:22:30,13:47:48,13:47:03,,,,,55,
Explore2,46,1.7,36,0,R,M,bare,bare,3,0:23:00,13:48:18,13:47:33,,,,,55,
Explore2,47,2.4,36,0,R,M,bare,bare,4,0:23:30,13:48:48,13:48:03,,,,,55,
Explore2,48,1.6,36,0,R,M,bare,bare,4,0:24:00,13:49:18,13:48:33,,,,,54,
Explore2,49,1.9,36,0,R,M,bare,bare,4,0:24:30,13:49:48,13:49:03,,,,,55,
Explore2,50,2.1,36,0,R,M,bare,bare,4,0:25:00,13:50:18,13:49:33,,,,,53,
Explore2,51,2.2,36,0,M,M,bare,bare,2,0:25:30,13:50:48,13:50:03,,,,,53,
Explore2,52,2.5,36,0,M,M,bare,bare,2,0:26:00,13:51:18,13:50:33,,,,,51,
Explore2,53,3.0,36,0,M,M,bare,bare,2,0:26:30,13:51:48,13:51:03,,,,,50,
Explore2,54,1.7,36,0,M,M,bare,bare,2,0:27:00,13:52:18,13:51:33,,,,,50,
Explore2,55,1.4,36,0,M,M,bare,bare,2,0:27:30,13:52:48,13:52:03,,,,,50,
Explore2,56,2.7,36,0,M,M,bare,bare,2,0:28:00,13:53:18,13:52:33,,,,,50,
Explore2,57,2.0,36,0,M,M,bare,bare,2,0:28:30,13:53:48,13:53:03,,,,,50,
Explore2,58,2.0,36,0,M,M,bare,bare,2,0:29:00,13:54:18,13:53:33,,,,,52,
Explore2,59,2.1,36,0,M,M,bare,bare,2,0:29:30,13:54:48,13:54:03,,,,,52,
Explore2,60,,,0,,,,,,0:30:00,13:55:18,13:54:33,,,,,,end of transect
Explore3,1,1.7,36,0,M,M,bare,bare,2,0:00:30,14:31:37,14:30:52,,,,,75,
Explore3,2,2.2,36,0,M,C,bare,bare,2,0:01:00,14:32:07,14:31:22,,,,,74,
Explore3,3,1.5,36,0,M,M,bare,bare,2,0:01:30,14:32:37,14:31:52,,,,,74,
Explore3,4,3.5,36,0,M,M,bare,bare,2,0:02:00,14:33:07,14:32:22,,,,,75,
Explore3,5,3.7,36,0,M,M,bare,bare,2,0:02:30,14:33:37,14:32:52,,,,,75,
Explore3,6,2.1,36,0,M,M,bare,bare,2,0:03:00,14:34:07,14:33:22,,,,,75,
Explore3,7,1.0,36,0,M,M,bare,bare,2,0:03:30,14:34:37,14:33:52,,,,,74,
Explore3,8,3.5,36,0,M,R,bare,bare,3,0:04:00,14:35:07,14:34:22,,,,,73,
Explore3,9,2.8,36,0,M,M,bare,bare,2,0:04:30,14:35:37,14:34:52,,,,,71,
Explore3,10,2.0,36,0,M,M,bare,bare,2,0:05:00,14:36:07,14:35:22,,,,,72,
Explore3,11,2.9,36,0,M,P,bare,bare,2,0:05:30,14:36:37,14:35:52,,,,,71,
Explore3,12,1.5,36,0,M,P,bare,bare,2,0:06:00,14:37:07,14:36:22,,,,,69,
Explore3,13,2.5,36,0,M,P,bare,bare,2,0:06:30,14:37:37,14:36:52,,,,,67,
Explore3,14,0.9,36,0,M,C,bare,bare,2,0:07:00,14:38:07,14:37:22,,,,,66,
Explore3,15,2.5,36,0,M,C,bare,bare,2,0:07:30,14:38:37,14:37:52,,,,,68,
Explore3,16,1.5,36,0,M,C,bare,bare,2,0:08:00,14:39:07,14:38:22,,,,,68,
Explore3,17,1.7,36,0,M,C,bare,bare,2,0:08:30,14:39:37,14:38:52,,,,,66,
Explore3,18,1.8,36,0,M,P,bare,bare,2,0:09:00,14:40:07,14:39:22,,,,,63,
Explore3,19,2.6,36,0,M,R,bare,bare,2,0:09:30,14:40:37,14:39:52,,,,,59,
Explore3,20,0.9,36,0,R,M,bare,bare,3,0:10:00,14:41:07,14:40:22,,,,,56,
Explore3,21,1.6,36,0,M,R,bare,bare,3,0:10:30,14:41:37,14:40:52,,,,,52,
Explore3,22,1.3,36,0,R,M,bare,bare,3,0:11:00,14:42:07,14:41:22,,,,,47,
Explore3,23,2.6,36,0,M,M,bare,bare,3,0:11:30,14:42:37,14:41:52,,,,,47,
Explore3,24,2.0,36,0,R,M,bare,bare,3,0:12:00,14:43:07,14:42:22,,,,,47,
Explore3,25,1.4,36,0,M,M,bare,bare,2,0:12:33,14:43:40,14:42:55,,,,,48,VP3 IDC: changed Segment time to where lasers were on bottom
Explore3,26,0.8,36,0,M,R,bare,bare,2,0:13:00,14:44:07,14:43:22,,,,,50,
Explore3,27,3.3,36,0,M,M,bare,bare,2,0:13:30,14:44:37,14:43:52,,,,,50,
Explore3,28,2.4,36,0,M,M,bare,bare,2,0:14:00,14:45:07,14:44:22,,,,,50,
Explore3,29,1.3,36,0,M,M,bare,bare,2,0:14:30,14:45:37,14:44:52,,,,,50,
Explore3,30,2.5,36,0,R,M,bare,bare,3,0:14:59,14:46:06,14:45:21,,,,,51,
Explore3,31,3.6,36,0,R,M,bare,bare,3,0:15:30,14:46:37,14:45:52,,,,,50,
Explore3,32,2.4,36,0,R,M,bare,bare,3,0:16:00,14:47:07,14:46:22,,,,,48,
Explore3,33,1.3,36,0,R,M,bare,bare,3,0:16:30,14:47:37,14:46:52,,,,,46,
Explore3,34,1.2,36,0,R,M,bare,bare,3,0:17:00,14:48:07,14:47:22,,,,,43,
Explore3,35,1.5,36,0,M,R,bare,bare,3,0:17:30,14:48:37,14:47:52,,,,,45,
Explore3,36,2.1,36,0,M,R,bare,bare,3,0:18:00,14:49:07,14:48:22,,,,,49,
Explore3,37,2.5,36,0,M,R,bare,bare,3,0:18:30,14:49:37,14:48:52,,,,,51,
Explore3,38,0.8,36,0,R,M,bare,bare,4,0:19:00,14:50:07,14:49:22,,,,,51,
Explore3,39,2.0,36,0,R,M,bare,bare,2,0:19:30,14:50:37,14:49:52,,,,,50,
Explore3,40,1.5,36,0,R,M,bare,bare,3,0:20:00,14:51:07,14:50:22,,,,,50,
Explore3,41,2.1,36,0,R,M,bare,bare,3,0:20:30,14:51:37,14:50:52,,,,,51,
Explore3,42,2.5,36,0,R,M,bare,bare,3,0:21:00,14:52:07,14:51:22,,,,,52,
Explore3,43,0.9,36,0,R,M,bare,bare,3,0:21:30,14:52:37,14:51:52,,,,,54,Habitat data taken at 21:30 when lasers come back down to bottom
Explore3,44,2.2,36,0,R,M,bare,bare,3,0:22:00,14:53:07,14:52:22,,,,,51,
Explore3,45,2.3,36,0,R,M,bare,bare,3,0:22:30,14:53:37,14:52:52,,,,,48,
Explore3,46,3.0,36,0,R,M,bare,bare,3,0:23:00,14:54:07,14:53:22,,,,,47,
Explore3,47,1.9,36,0,R,M,bare,bare,3,0:23:30,14:54:37,14:53:52,,,,,48,
Explore3,48,1.2,36,0,M,M,bare,bare,2,0:24:00,14:55:07,14:54:22,,,,,50,
Explore3,49,1.4,36,0,M,M,bare,bare,2,0:24:30,14:55:37,14:54:52,,,,,51,
Explore3,50,2.0,36,0,M,M,bare,bare,2,0:25:00,14:56:07,14:55:22,,,,,49,
Explore3,51,1.9,36,0,M,M,bare,bare,2,0:25:30,14:56:37,14:55:52,,,,,46,
Explore3,52,3.4,36,0,M,M,bare,bare,2,0:26:00,14:57:07,14:56:22,,,,,45,
Explore3,53,2.1,36,0,M,M,bare,bare,2,0:26:30,14:57:37,14:56:52,,,,,46,
Explore3,54,1.5,36,0,M,M,bare,bare,2,0:27:00,14:58:07,14:57:22,,,,,46,
Explore3,55,0.9,36,0,R,M,bare,bare,3,0:27:30,14:58:37,14:57:52,,,,,45,
Explore3,56,1.5,36,0,M,M,bare,bare,2,0:28:00,14:59:07,14:58:22,,,,,46,
Explore3,57,1.2,36,0,M,M,bare,bare,2,0:28:30,14:59:37,14:58:52,,,,,47,
Explore3,58,1.0,36,0,M,M,bare,bare,2,0:29:00,15:00:07,14:59:22,,,,,47,
Explore3,59,3.2,36,0,R,M,bare,bare,2,0:29:34,15:00:41,14:59:56,,,,,47,Habitat data taken at 29:34 to avoid taking them on Sink; IDC VP3: changed segment time
Explore3,60,,,0,,,,,,0:30:00,15:01:07,15:00:22,,,,,,end of transect
Explore4,1,2.5,36,0,M,M,bare,bare,2,0:00:00,15:11:29,15:10:43,,,,,50,
Explore4,2,1.9,36,0,M,M,bare,bare,2,0:00:30,15:11:59,15:11:13,,,,,50,
Explore4,3,2.0,36,0,M,M,bare,bare,2,0:01:00,15:12:29,15:11:43,,,,,50,
Explore4,4,2.9,36,0,M,M,bare,bare,2,0:01:30,15:12:59,15:12:13,,,,,51,
Explore4,5,1.5,36,0,M,M,bare,bare,2,0:02:00,15:13:29,15:12:43,,,,,50,
Explore4,6,1.5,36,0,M,M,bare,bare,2,0:02:30,15:13:59,15:13:13,,,,,49,
Explore4,7,2.7,36,0,M,M,bare,bare,2,0:03:00,15:14:29,15:13:43,,,,,48,
Explore4,8,2.7,36,0,M,M,bare,bare,2,0:03:30,15:14:59,15:14:13,,,,,47,
Explore4,9,1.4,36,0,M,M,bare,bare,2,0:04:00,15:15:29,15:14:43,,,,,46,
Explore4,10,3.2,36,0,M,R,bare,bare,2,0:04:30,15:15:59,15:15:13,,,,,44,
Explore4,11,2.2,36,0,R,R,bare,bare,3,0:05:00,15:16:29,15:15:43,,,,,45,
Explore4,12,2.2,36,0,R,M,bare,bare,3,0:05:30,15:16:59,15:16:13,,,,,45,
Explore4,13,1.7,36,0,R,M,bare,bare,2,0:06:00,15:17:29,15:16:43,,,,,45,
Explore4,14,2.2,36,0,R,M,bare,bare,3,0:06:30,15:17:59,15:17:13,,,,,44,
Explore4,15,0.8,36,0,B,M,bare,bare,2,0:07:00,15:18:29,15:17:43,,,,,44,
Explore4,16,0.7,36,0,P,B,bare,bare,2,0:07:30,15:18:59,15:18:13,,,,,44,
Explore4,17,0.7,36,0,P,B,bare,bare,2,0:08:00,15:19:29,15:18:43,,,,,44,
Explore4,18,3.2,36,0,R,M,bare,bare,2,0:08:30,15:19:59,15:19:13,,,,,44,
Explore4,19,3.8,36,0,C,B,bare,bare,2,0:09:00,15:20:29,15:19:43,,,,,43,Quillback just out of capture area
Explore4,20,3.2,36,0,C,M,bare,bare,2,0:09:30,15:20:59,15:20:13,,,,,43,
Explore4,21,1.5,36,0,P,P,bare,bare,2,0:10:00,15:21:29,15:20:43,,,,,42,
Explore4,22,2.9,36,0,P,P,bare,bare,2,0:10:30,15:21:59,15:21:13,,,,,40,
Explore4,23,3.5,36,0,C,M,bare,bare,2,0:11:00,15:22:29,15:21:43,,,,,39,
Explore4,24,2.7,36,0,C,B,bare,encrusting organism complex,2,0:11:30,15:22:59,15:22:13,,,,,39,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,25,1.4,36,0,C,M,bare,encrusting organism complex,2,0:12:00,15:23:29,15:22:43,,,,,39,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,26,1.7,36,0,C,C,bare,encrusting organism complex,2,0:12:30,15:23:59,15:23:13,,,,,40,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,27,2.0,36,0,C,C,bare,encrusting organism complex,2,0:13:00,15:24:29,15:23:43,,,,,41,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,28,1.9,36,0,C,C,bare,encrusting organism complex,2,0:13:30,15:24:59,15:24:13,,,,,41,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,29,2.3,36,0,C,C,bare,encrusting organism complex,2,0:14:00,15:25:29,15:24:43,,,,,40,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,30,3.0,36,0,C,C,bare,encrusting organism complex,2,0:14:30,15:25:59,15:25:13,,,,,39,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,31,2.3,36,0,C,R,bare,encrusting organism complex,2,0:15:00,15:26:29,15:25:43,,,,,39,"Encrusting includes sponges, tube worms, bryozoans"
Explore4,32,1.5,36,0,C,C,bare,bare,2,0:15:30,15:26:59,15:26:13,,,,,39,
Explore4,33,1.0,36,0,R,R,bare,bare,3,0:16:00,15:27:29,15:26:43,,,,,38,
Explore4,34,1.2,36,0,R,R,encrusting organism complex,bare,2,0:16:30,15:27:59,15:27:13,,,,,33,
Explore4,35,0.6,36,0,R,B,bare,bare,4,0:17:00,15:28:29,15:27:43,,,,,32,
Explore4,36,1.4,36,0,R,R,bare,bare,4,0:17:30,15:28:59,15:28:13,,,,,30,
Explore4,37,1.5,36,0,R,R,bare,bare,4,0:18:00,15:29:29,15:28:43,,,,,27,
Explore4,38,1.1,36,0,R,R,bare,bare,3,0:18:30,15:29:59,15:29:13,,,,,28,
Explore4,39,1.6,36,0,R,R,bare,bare,3,0:19:00,15:30:29,15:29:43,,,,,29,
Explore4,40,1.0,36,0,R,B,bare,bare,3,0:19:30,15:30:59,15:30:13,,,,,31,
Explore4,41,0.9,36,0,R,R,bare,bare,4,0:20:00,15:31:29,15:30:43,,,,,31,
Explore4,42,0.9,36,0,R,H,bare,bare,3,0:20:30,15:31:59,15:31:13,,,,,32,
Explore4,43,2.2,36,0,R,H,bare,bare,2,0:21:00,15:32:29,15:31:43,,,,,33,
Explore4,44,2.0,36,0,B,R,bare,bare,3,0:21:30,15:32:59,15:32:13,,,,,33,
Explore4,45,2.1,36,0,B,R,bare,bare,3,0:22:00,15:33:29,15:32:43,,,,,33,
Explore4,46,2.9,36,0,R,R,bare,bare,3,0:22:30,15:33:59,15:33:13,,,,,32,
Explore4,47,1.2,36,0,R,R,bare,bare,2,0:23:00,15:34:29,15:33:43,,,,,33,
Explore4,48,1.7,36,0,R,H,bare,bare,2,0:23:30,15:34:59,15:34:13,,,,,34,
Explore4,49,1.1,36,0,R,R,bare,bare,3,0:24:00,15:35:29,15:34:43,,,,,34,
Explore4,50,2.8,36,0,R,B,bare,encrusting organism complex,3,0:24:30,15:35:59,15:35:13,,,,,35,
Explore4,51,2.1,36,0,R,R,bare,bare,2,0:25:00,15:36:29,15:35:43,,,,,35,
Explore4,52,0.4,36,0,R,R,bare,bare,3,0:25:30,15:36:59,15:36:13,,,,,35,
Explore4,53,1.5,36,0,R,H,bare,bare,3,0:26:00,15:37:29,15:36:43,,,,,35,
Explore4,54,0.9,36,0,R,R,bare,bare,2,0:26:33,15:38:02,15:37:16,,,,,34,Habitat data taken at 26:33VT (15:37:17 PT) for better laser measurement; changed segment time(IDC)
Explore4,55,1.0,36,0,R,R,bare,anemone,2,0:27:02,15:38:31,15:37:45,,,,,32,Habitat data taken at 27:02VT (15:37:46 PT) for better laser measurement; Changed Segment time (IDC)
Explore4,56,1.7,36,0,R,R,encrusting organism complex,encrusting organism complex,2,0:27:30,15:38:59,15:38:13,,,,,30,
Explore4,57,0.7,36,0,R,R,encrusting organism complex,bare,3,0:28:02,15:39:31,15:38:45,,,,,32,Habitat data taken at 28:02VT (15:38:46PT) for better laser measurement; segment time changed (IDC)
Explore4,58,1.1,36,0,R,R,encrusting organism complex,encrusting organism complex,3,0:28:30,15:39:59,15:39:13,,,,,33,
Explore4,59,0.8,36,0,R,M,encrusting organism complex,encrusting organism complex,3,0:29:00,15:40:29,15:39:43,,,,,34,wall begins mid segment
Explore4,60,3.5,36,0,R,M,bare,bare,2,0:29:30,15:40:59,15:40:13,,,,,35,
Explore4,61,1.3,36,0,R,R,bare,barnacles,4,0:30:00,15:41:29,15:40:43,,,,,34,
Explore4,62,,,0,,,,,,0:30:30,15:41:59,15:41:13,,,,,,end of transect
Explore5,1,1.1,36,0,R,R,bare,encrusting organism complex,3,0:00:00,15:46:06,15:45:18,,,,,32,"ARH: NMEA output turns on at VT 0:01:09, back calculated GPS time when it turns on"
Explore5,2,5.2,36,0,R,R,encrusting organism complex,encrusting organism complex,3,0:00:30,154636,15:45:48,,,,,33,
Explore5,3,1.1,36,0,R,R,bare,encrusting organism complex,3,0:01:00,154706,15:46:18,,,,,32,
Explore5,4,1.6,36,0,R,M,encrusting organism complex,encrusting organism complex,2,0:01:30,154736,15:46:48,,,,,34,
Explore5,5,1.2,36,0,R,R,encrusting organism complex,encrusting organism complex,2,0:02:00,154806,15:47:18,,,,,35,
Explore5,6,1.8,36,0,M,R,bare,bare,3,0:02:30,154836,15:47:48,,,,,35,
